Kudos Date,Kudos Type,Parent ID
"Mar 26, 2020, 10:55:58 PM",Activity,3221555793
"Mar 26, 2020, 11:40:19 PM",Activity,3222079733
"Mar 27, 2020, 1:11:01 AM",Activity,3220939618
"Mar 27, 2020, 1:13:58 AM",Activity,3222102014
"Mar 28, 2020, 10:09:43 PM",Activity,3229303138
"Mar 28, 2020, 10:09:50 PM",Activity,3229074685
"Mar 30, 2020, 8:04:26 PM",Activity,3233409569
"Apr 5, 2020, 10:49:27 PM",Activity,3260633481
"Apr 5, 2020, 11:03:19 PM",Activity,3255376865
"Apr 5, 2020, 11:03:47 PM",Activity,3259603319
"Apr 6, 2020, 3:33:19 PM",Activity,3262265562
"Apr 8, 2020, 12:03:15 AM",Activity,3268861059
"Apr 8, 2020, 3:00:49 AM",Activity,3269254357
"Apr 8, 2020, 3:01:10 AM",Activity,3268981288
"Apr 9, 2020, 3:04:01 AM",Activity,3273435265
"Apr 9, 2020, 5:12:57 PM",Activity,3275777328
"Apr 11, 2020, 5:31:43 AM",Activity,3280646077
"Apr 11, 2020, 7:16:27 PM",Activity,3285993278
"Apr 11, 2020, 10:00:45 PM",Activity,3286390810
"Apr 11, 2020, 10:16:44 PM",Activity,3282217066
"Apr 12, 2020, 2:28:31 AM",Activity,3286860771
"Apr 12, 2020, 11:28:23 PM",Activity,3291410862
"Apr 12, 2020, 11:28:34 PM",Activity,3291104190
"Apr 16, 2020, 4:14:47 AM",Activity,3304860466
"Apr 17, 2020, 5:56:06 PM",Activity,3312116968
"Apr 19, 2020, 12:22:23 AM",Activity,3318465679
"Apr 19, 2020, 12:22:25 AM",Activity,3318494238
"Apr 19, 2020, 9:40:19 PM",Activity,3323506563
"May 1, 2020, 2:39:26 PM",Activity,3377383529
"May 3, 2020, 3:20:43 AM",Activity,3386470867
"May 3, 2020, 3:20:44 AM",Activity,3386535095
"May 3, 2020, 3:20:46 AM",Activity,3386747102
"May 3, 2020, 3:20:56 AM",Activity,3385182460
"May 3, 2020, 3:21:10 AM",Activity,3385184511
"May 3, 2020, 3:21:23 AM",Activity,3381872115
"May 5, 2020, 2:56:46 AM",Activity,3394124819
"May 7, 2020, 4:49:21 AM",Activity,3409515164
"May 7, 2020, 4:49:24 AM",Activity,3410744078
"May 18, 2020, 2:16:54 AM",Activity,3469258280
"May 20, 2020, 11:37:54 PM",Activity,3479905975
"May 22, 2020, 3:44:26 PM",Activity,3493498347
"May 22, 2020, 3:44:31 PM",Activity,3492784534
"May 23, 2020, 1:44:17 AM",Activity,3495836465
"May 24, 2020, 3:25:28 AM",Activity,3498365726
"May 25, 2020, 12:58:45 AM",Activity,3506766711
"May 25, 2020, 12:58:54 AM",Activity,3506207295
"May 25, 2020, 12:59:01 AM",Activity,3506101506
"May 25, 2020, 12:59:04 AM",Activity,3506313235
"May 25, 2020, 12:59:07 AM",Activity,3506101415
"May 25, 2020, 4:22:32 PM",Activity,3509299225
"May 25, 2020, 4:22:34 PM",Activity,3509312495
"May 25, 2020, 6:33:22 PM",Activity,3508864997
"May 25, 2020, 6:33:24 PM",Activity,3508889809
"May 27, 2020, 4:10:09 AM",Activity,3517412689
"May 28, 2020, 11:10:10 PM",Activity,3528018246
"May 28, 2020, 11:13:34 PM",Activity,3527829233
"May 29, 2020, 1:14:22 AM",Activity,3528487056
"May 29, 2020, 1:15:22 AM",Activity,3517316210
"May 29, 2020, 1:15:25 AM",Activity,3498258245
"May 29, 2020, 1:15:29 AM",Activity,3494988242
"May 29, 2020, 9:22:32 PM",Activity,3532598848
"May 29, 2020, 9:24:04 PM",Activity,3532559181
"May 29, 2020, 10:00:25 PM",Activity,3532726447
"May 30, 2020, 4:36:29 AM",Activity,3533575612
"May 31, 2020, 1:45:37 AM",Activity,3536953553
"May 31, 2020, 1:45:41 AM",Activity,3536297049
"May 31, 2020, 2:38:41 PM",Activity,3541649360
"Jun 1, 2020, 3:39:45 AM",Activity,3544013623
"Jun 1, 2020, 3:40:11 AM",Activity,3544556442
"Jun 1, 2020, 11:57:21 PM",Activity,3548941025
"Jun 1, 2020, 11:57:26 PM",Activity,3549107338
"Jun 3, 2020, 12:28:55 AM",Activity,3555428526
"Jun 4, 2020, 12:09:02 AM",Activity,3560658599
"Jun 4, 2020, 12:09:08 AM",Activity,3560431262
"Jun 5, 2020, 1:54:54 AM",Activity,3564641558
"Jun 5, 2020, 5:26:23 PM",Activity,3568344231
"Jun 6, 2020, 2:17:36 AM",Activity,3568635593
"Jun 6, 2020, 1:48:35 PM",Activity,3571798513
"Jun 7, 2020, 1:49:13 AM",Activity,3574974099
"Jun 7, 2020, 3:31:26 PM",Activity,3578218914
"Jun 7, 2020, 3:31:29 PM",Activity,3577596973
"Jun 7, 2020, 3:35:49 PM",Activity,3575304223
"Jun 8, 2020, 1:54:39 AM",Activity,3580748651
"Jun 8, 2020, 1:54:42 AM",Activity,3580246836
"Jun 8, 2020, 1:54:45 AM",Activity,3579956510
"Jun 8, 2020, 1:54:50 AM",Activity,3580058831
"Jun 8, 2020, 1:54:52 AM",Activity,3580112640
"Jun 8, 2020, 1:54:53 AM",Activity,3580012693
"Jun 8, 2020, 1:54:54 AM",Activity,3579613997
"Jun 9, 2020, 2:06:09 AM",Activity,3585365783
"Jun 9, 2020, 6:44:43 PM",Activity,3588797791
"Jun 9, 2020, 6:44:43 PM",Activity,3588782901
"Jun 10, 2020, 1:16:56 AM",Activity,3590724303
"Jun 10, 2020, 3:55:33 AM",Activity,3590716016
"Jun 10, 2020, 9:05:04 PM",Activity,3594958669
"Jun 10, 2020, 9:05:06 PM",Activity,3594830222
"Jun 11, 2020, 2:26:00 AM",Activity,3595690811
"Jun 11, 2020, 9:29:40 PM",Activity,3595945611
"Jun 12, 2020, 12:19:21 AM",Activity,3600350752
"Jun 12, 2020, 12:21:27 AM",Activity,3600472085
"Jun 12, 2020, 1:55:54 AM",Activity,3600612753
"Jun 12, 2020, 1:56:58 AM",Activity,3600295999
"Jun 12, 2020, 1:57:11 AM",Activity,3600193455
"Jun 12, 2020, 6:24:49 PM",Activity,3600168134
"Jun 12, 2020, 10:05:57 PM",Activity,3604702530
"Jun 13, 2020, 10:19:31 PM",Activity,3610093979
"Jun 15, 2020, 11:23:31 PM",Activity,3621010608
"Jun 16, 2020, 3:06:53 AM",Activity,3620322313
"Jun 16, 2020, 3:07:06 AM",Activity,3621392609
"Jun 16, 2020, 3:07:12 AM",Activity,3619799807
"Jun 16, 2020, 8:25:11 PM",Activity,3625466204
"Jun 18, 2020, 2:37:20 AM",Activity,3631850443
"Jun 18, 2020, 2:37:31 AM",Activity,3631647411
"Jun 18, 2020, 12:54:46 PM",Activity,3633300125
"Jun 18, 2020, 2:57:05 PM",Activity,3628570767
"Jun 18, 2020, 5:01:49 PM",Activity,3634175059
"Jun 19, 2020, 1:15:07 AM",Activity,3636029070
"Jun 19, 2020, 1:15:11 AM",Activity,3635937334
"Jun 19, 2020, 1:15:13 AM",Activity,3636273873
"Jun 19, 2020, 2:48:24 AM",Activity,3636487822
"Jun 19, 2020, 1:58:14 PM",Activity,3638166636
"Jun 19, 2020, 1:58:16 PM",Activity,3638152483
"Jun 19, 2020, 5:04:21 PM",Activity,3639021003
"Jun 19, 2020, 5:04:31 PM",Activity,3638633411
"Jun 20, 2020, 4:10:11 PM",Activity,3643273014
"Jun 20, 2020, 4:12:06 PM",Activity,3642776016
"Jun 21, 2020, 1:55:34 AM",Activity,3646258253
"Jun 21, 2020, 12:15:00 PM",Activity,3648392792
"Jun 21, 2020, 12:15:31 PM",Activity,3648404863
"Jun 21, 2020, 6:27:57 PM",Activity,3649849736
"Jun 21, 2020, 9:30:46 PM",Activity,3650893639
"Jun 21, 2020, 9:30:49 PM",Activity,3650893429
"Jun 22, 2020, 1:02:27 AM",Activity,3651641988
"Jun 22, 2020, 11:51:21 AM",Activity,3651622674
"Jun 23, 2020, 1:30:23 AM",Activity,3656397278
"Jun 23, 2020, 1:30:27 AM",Activity,3655637974
"Jun 23, 2020, 3:00:38 PM",Activity,3656534519
"Jun 23, 2020, 3:00:40 PM",Activity,3658854252
"Jun 23, 2020, 10:27:05 PM",Activity,3661271877
