Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Up to Comfort Hill,2554444306,44.19975,-73.261182,44.17786,-73.25633
Breadloaf Climb,3830696850,43.956235,-72.987623,43.976789,-72.963805
